timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1582005662.3783188,1 2 3,1 2 3,muscle,shoutout,1.8315649032592773,1.00,False,True
1582005664.4864357,1 2 3,2 1 3,muscle,shoutout,2.080867290496826,1.00,False,False
1582005666.5541492,1 2 3,3 2 1,muscle,muscle,2.035818338394165,1.00,True,False
1582005668.6706862,1 2 3,3 1 2,muscle,weightlifting,2.08579158782959,1.00,False,False
1582005670.741987,1 2 3,3 1 2,muscle,muscle,2.0448946952819824,1.00,True,False
1582005672.857166,1 2 3,2 1 3,muscle,weightlifting,2.0652873516082764,1.00,False,False
1582005674.9380314,1 2 3,3 2 1,muscle,weightlifting,2.0495235919952393,1.00,False,False
1582005676.9915757,1 2 3,3 1 2,muscle,weightlifting,2.030900716781616,1.00,False,False
1582005679.0549753,1 2 3,1 3 2,muscle,muscle,2.0415027141571045,1.00,True,False
1582005681.1019838,1 2 3,1 3 2,muscle,shoutout,2.024700403213501,1.00,False,False
1582005683.2084577,1 2 3,2 3 1,muscle,muscle,2.0935497283935547,1.00,True,False
1582005685.25147,1 2 3,3 2 1,muscle,shoutout,1.9929087162017822,1.00,False,False
1582005687.3205333,1 2 3,2 3 1,muscle,shoutout,2.041459083557129,1.00,False,False
1582005689.3848956,1 2 3,1 3 2,muscle,shoutout,2.015634775161743,1.00,False,False
1582005691.4239788,1 2 3,3 1 2,muscle,shoutout,2.0086238384246826,1.00,False,False
1582005693.4872062,1 2 3,3 1 2,muscle,shoutout,2.026531457901001,1.00,False,False
1582005695.5387852,1 2 3,1 2 3,muscle,shoutout,2.015540838241577,1.00,False,True
1582005697.6070504,1 2 3,2 3 1,muscle,shoutout,2.024576425552368,1.00,False,False
1582005699.7103348,1 2 3,2 1 3,muscle,shoutout,2.036221981048584,1.00,False,False
1582005701.7916303,1 2 3,2 1 3,muscle,shoutout,2.02717661857605,1.00,False,False
1582005703.9080553,1 2 3,3 1 2,muscle,shoutout,2.0677757263183594,1.00,False,False
1582005706.0259352,1 2 3,2 3 1,muscle,shoutout,2.05466628074646,1.00,False,False
1582005708.1065023,1 2 3,3 1 2,muscle,shoutout,2.0340137481689453,1.00,False,False
1582005710.1606414,1 2 3,3 1 2,muscle,shoutout,2.0018441677093506,1.00,False,False
1582005712.2095895,1 2 3,2 1 3,muscle,shoutout,1.9843380451202393,1.00,False,False
1582005808.1679466,1 2 3,1 3 2,muscle,muscle,1.129279613494873,1.00,True,False
1582005810.246398,1 2 3,3 2 1,muscle,shoutout,2.0385940074920654,1.00,False,False
1582005812.322759,1 2 3,2 1 3,muscle,muscle,1.9984245300292969,1.00,True,False
1582005814.378813,1 2 3,3 1 2,muscle,weightlifting,2.016111135482788,1.00,False,False
1582005816.4767745,1 2 3,1 3 2,muscle,muscle,2.0397496223449707,1.00,True,False
1582005818.512467,1 2 3,3 1 2,muscle,weightlifting,1.9964489936828613,1.00,False,False
1582005820.5952413,1 2 3,1 3 2,muscle,weightlifting,2.033221483230591,1.00,False,False
1582005822.6429358,1 2 3,1 3 2,muscle,shoutout,2.017368793487549,1.00,False,False
1582005824.696293,1 2 3,2 1 3,muscle,weightlifting,2.0247397422790527,1.00,False,False
